field,count
The_Food_and_Cooking_of_Sicily_and_Southern_Italy:_65_Classic_Dishes_from_Sicily__Calabria__Basilicata_and_Puglia,68
The_Food_and_Cooking_of_Tuscany:_65_Classic_Dishes_from_Tuscany__Umbria_and_Le_Marche,68
The_Food_and_Cooking_of_Venice_and_the_North-East_of_Italy:_65_Classic_Dishes_from_Veneto__Trentino-Alto_Adige_and_Friuli-Venezia_Giulia,66
The_Food_of_Italy:_A_Journey_for_Food_Lovers,184
The_Food_of_Southern_Italy,196
The_Frankies_Spuntino_Kitchen_Companion_Cooking_Manual,94
The_Frugal_Gourmet_Cooks_Italian:_Recipes_from_the_New_and_Old_Worlds_Simplified_for_the_American_Kitchen,359
The_Geometry_of_Pasta,159
The_Glorious_Pasta_of_Italy,105
The_Glorious_Soups_and_Stews_of_Italy,78
The_Gloriously_Gluten-Free_Cookbook:_Spicing_Up_Life_with_Italian__Asian__and_Mexican_Recipes,142
The_Harry_s_Bar_Cookbook,215
The_Il_Fornaio_Baking_Book:_Sweet_and_Savory_Recipes_from_the_Italian_Kitchen,80
The_Italian_Baker:_The_Classic_Tastes_of_the_Italian_Countryside--Its_Breads__Pizza__Focacce__Cakes__Pastries_Cookies,209
The_Italian_Cookery_Course:_Techniques__Masterclasses__Ingredients__Traditional_Recipes,402
The_Italian_Country_Table:_Home_Cooking_from_Italy_s_Farmhouse_Kitchens,164
The_Italian_Farmer_s_Table:_Authentic_Recipes_and_Local_Lore_from_Northern_Italy,156
The_Italian_Slow_Cooker:_125_Easy_Recipes_for_the_Electric_Slow_Cooker,125
The_Legend_of_the_Villa_della_Luna,7
The_Long_Italian_Lunch,102
The_Mozza_Cookbook:_Recipes_from_Los_Angeles_s_Favorite_Italian_Restaurant_and_Pizzeria,164
The_Red_Cat_Cookbook:_125_Recipes_from_New_York_City_s_Favorite_Neighborhood_Restaurant,152
The_Renaissance_of_Italian_Cooking,149
The_River_Cafe_Classic_Italian_Cookbook,198
The_River_Cafe_Cookbook,207
The_Second_Classic_Italian_Cookbook,218
The_Silver_Spoon,1963
The_Silver_Spoon_Pasta,360
The_Silver_Spoon_for_Children:_Favorite_Italian_Recipes,42
The_Simpler_the_Better:_Sensational_Italian_Meals,103
The_Southern_Italian_Farmer_s_Table:_Authentic_Recipes_and_Local_Lore_from_Tuscany_to_Sicily,158
The_Splendid_Table:_Recipes_from_Emilia-Romagna__the_Heartland_of_Northern_Italian_Food,198
The_Talisman_Italian_Cookbook:_Italy_s_Bestselling_Cookbook_Adapted_for_American_Kitchens,704
The_Top_One_Hundred_Italian_Dishes,100
The_Top_One_Hundred_Italian_Rice_Dishes:_Including_Over_50_Risotto_Recipes,109
The_Top_One_Hundred_Pasta_Sauces,100
The_Tucci_Cookbook,177
The_Tuscan_Sun_Cookbook:_Recipes_from_Our_Italian_Kitchen,137
The_Vegetarian_Table:_Italy,96
The_de_Medici_Kitchen,78
Trattoria_Cooking:_More_Than_200_Authentic_Recipes_from_Italy_s_Family-style_Restaurants,223
Tuscan_Cookbook:_Recipes_and_Reminiscences_from_the_Italian_Cooking_School,114
Tuscany,53
Tuscany:_The_Beautiful_Cookbook:_Authentic_Recipes_from_the_Provinces_of_Tuscany,249
Twelve:_A_Tuscan_Cookbook,244
Two_Greedy_Italians,106
Two_Greedy_Italians_Eat_Italy,80
Urban_Italian:_Simple_Recipes_and_True_Stories_from_a_Life_in_Food,112
Ursula_Ferrigno_s_Trattoria:_A_Passion_for_Italian_Food,131
Venezia:_Food_Dreams,107
Verdura:_Vegetables_Italian_Style,261
Viva_L_Italia,115
We_Called_it_Macaroni:_An_American_Heritage_of_Southern_Italian_Cooking_(Knopf_Cooks_American_Series__No._4),206
Williams-Sonoma_Foods_of_the_World:_Florence:_Authentic_Recipes_Celebrating_the_Foods_of_the_World,50
Williams-Sonoma_Foods_of_the_World:_Rome:_Authentic_Recipes_Celebrating_the_Foods_of_the_World,50
Williams-Sonoma_Rustic_Italian:_Simple__Authentic_Recipes_for_Everyday_Cooking,106
World_Cuisine_Italy_(1),23
