Cuisine, Degree, Avg Neig Degree
chinese,0.31557,98.6554
chinese,0.0042644,274
chinese,0.0085288,228
chinese,0.0063966,315
chinese,0.0042644,210.5
chinese,0.13646,149.7188
chinese,0.0021322,340
chinese,0.057569,203.9259
chinese,0.098081,164.2826
chinese,0.18124,120.9294
chinese,0.27505,106.3721
chinese,0.14925,143.4
chinese,0.0021322,17
chinese,0.046908,213.9545
chinese,0.027719,185.1538
chinese,0.021322,158.9
chinese,0.27505,109.969
chinese,0.27505,104.3798
chinese,0.034115,204.1875
chinese,0.11727,161.0909
chinese,0.01919,251.2222
chinese,0.11514,92.463
chinese,0.3113,102.2466
chinese,0.40938,86.6667
chinese,0.034115,172.5625
chinese,0.0085288,103.25
chinese,0.025586,222.5833
chinese,0.034115,225.125
chinese,0.066098,203.4516
chinese,0.055437,186.1538
chinese,0.12367,144.6552
chinese,0.03838,208.5
chinese,0.0042644,345
chinese,0.021322,205.7
chinese,0.10661,146.34
chinese,0.0042644,269.5
chinese,0.26013,109.8033
chinese,0.063966,190.9667
chinese,0.029851,153.3571
chinese,0.0021322,340
chinese,0.029851,200
chinese,0.027719,149.3846
chinese,0.021322,231.4
chinese,0.0021322,29
chinese,0.0042644,253
chinese,0.014925,131.4286
chinese,0.091684,167.186
chinese,0.0085288,121.5
chinese,0.057569,184.2593
chinese,0.1258,161.5932
chinese,0.042644,185.2
chinese,0.36247,91.1529
chinese,0.11087,162.9615
chinese,0.0063966,342.6667
chinese,0.36887,90.7399
chinese,0.19403,129.8352
chinese,0.012793,210.3333
chinese,0.027719,229.7692
chinese,0.017058,99.375
chinese,0.0063966,270.6667
chinese,0.06823,194.1562
chinese,0.040512,219.3684
chinese,0.15991,132.5733
chinese,0.021322,195.9
chinese,0.20896,125.8265
chinese,0.021322,266.2
chinese,0.051173,201.8333
chinese,0.034115,77.75
chinese,0.17271,140.2593
chinese,0.014925,278.2857
chinese,0.0042644,345
chinese,0.031983,62.1333
chinese,0.13006,123.3279
chinese,0.036247,72.4706
chinese,0.0063966,258.6667
chinese,0.063966,192.4333
chinese,0.26013,109.6803
chinese,0.034115,182.8125
chinese,0.41791,85.3827
chinese,0.044776,215
chinese,0.023454,162
chinese,0.17271,138.2099
chinese,0.014925,258
chinese,0.0063966,278
chinese,0.014925,103.1429
chinese,0.0021322,350
chinese,0.0021322,37
chinese,0.33049,97.4516
chinese,0.014925,258.1429
chinese,0.01919,47.8889
chinese,0.044776,209.8095
chinese,0.063966,173.9667
chinese,0.025586,243
chinese,0.0063966,98.6667
chinese,0.023454,203.5455
chinese,0.078891,190.2703
chinese,0.37527,89.267
chinese,0.0042644,167.5
chinese,0.10874,163.1373
chinese,0.021322,229.8
chinese,0.040512,220.1579
chinese,0.0063966,342.6667
chinese,0.059701,192.6429
chinese,0.0063966,61.6667
chinese,0.27079,107.9213
chinese,0.0042644,239
chinese,0.012793,163.5
chinese,0.0063966,316
chinese,0.034115,47.25
chinese,0.036247,235.2353
chinese,0.034115,133.3125
chinese,0.051173,196.25
chinese,0.06823,191.6562
chinese,0.0085288,198.25
chinese,0.042644,203.8
chinese,0.095949,166.4444
chinese,0.0063966,273
chinese,0.063966,193.6333
chinese,0.0042644,129.5
chinese,0.093817,118.9091
chinese,0.010661,228.4
chinese,0.0063966,342.6667
chinese,0.0021322,175
chinese,0.021322,150.4
chinese,0.0021322,340
chinese,0.023454,132.9091
chinese,0.014925,40.7143
chinese,0.061834,133.8621
chinese,0.33262,95.6154
chinese,0.0042644,188
chinese,0.10661,157.02
chinese,0.078891,167.6757
chinese,0.040512,169.3684
chinese,0.012793,218
chinese,0.095949,158.9333
chinese,0.021322,210.6
chinese,0.1855,133.2989
chinese,0.0021322,9
chinese,0.1855,124.977
chinese,0.0021322,45
chinese,0.098081,169.8696
mexican,0.012876,298.6667
mexican,0.0042918,325.5
mexican,0.015021,170
mexican,0.012876,304.1667
mexican,0.30043,100.5786
mexican,0.0021459,192
mexican,0.021459,222.8
mexican,0.17811,133.759
mexican,0.20172,125.4681
mexican,0.1073,164.54
mexican,0.0042918,45
mexican,0.0042918,271.5
mexican,0.023605,239.6364
mexican,0.027897,189
mexican,0.036481,214.9412
mexican,0.027897,223.6154
mexican,0.019313,238.1111
mexican,0.0021459,186
mexican,0.20172,129.2021
mexican,0.0064378,126
mexican,0.30687,103.8811
mexican,0.11588,146.9815
mexican,0.29185,104.3603
mexican,0.23176,118.2685
mexican,0.012876,194.6667
mexican,0.030043,217.2857
mexican,0.0085837,233.5
mexican,0.023605,162.9091
mexican,0.0064378,178.6667
mexican,0.31974,99.5705
mexican,0.021459,132.6
mexican,0.17597,128.3415
mexican,0.087983,179.5854
mexican,0.11588,150.9815
mexican,0.030043,225
mexican,0.017167,117.125
mexican,0.13519,141.0317
mexican,0.0085837,268
mexican,0.040773,170.2632
mexican,0.012876,229.6667
mexican,0.015021,222
mexican,0.0085837,135.75
mexican,0.021459,204.4
mexican,0.012876,198.3333
mexican,0.049356,180.3043
mexican,0.012876,175.5
mexican,0.042918,230.9
mexican,0.06867,170.25
mexican,0.39056,87.7363
mexican,0.062232,120.8276
mexican,0.030043,229.5
mexican,0.017167,193.875
mexican,0.45923,78.0654
mexican,0.075107,154.6571
mexican,0.26609,110.3548
mexican,0.032189,190.8
mexican,0.19742,125.337
mexican,0.0064378,94.3333
mexican,0.19099,116.4494
mexican,0.05794,200.0741
mexican,0.025751,249.1667
mexican,0.62232,63.1414
mexican,0.0021459,82
mexican,0.019313,222.7778
mexican,0.055794,165.4231
mexican,0.064378,192
mexican,0.019313,143.3333
mexican,0.0021459,360
mexican,0.01073,193.8
mexican,0.12017,158.6964
mexican,0.19099,116.3034
mexican,0.042918,213.75
mexican,0.066524,197.6452
mexican,0.0085837,196.25
mexican,0.01073,310
mexican,0.0042918,45
mexican,0.0021459,275
mexican,0.017167,247
mexican,0.11803,155.0545
mexican,0.0042918,274
mexican,0.0085837,236.25
mexican,0.096567,130.9111
mexican,0.0021459,290
mexican,0.094421,158.0455
mexican,0.22747,117.9245
mexican,0.38627,90.9111
mexican,0.27039,108.4524
mexican,0.0042918,236
mexican,0.081545,168.3421
mexican,0.29614,103.6377
mexican,0.11373,155.4717
mexican,0.0085837,159
mexican,0.045064,199.9048
mexican,0.045064,165.8571
mexican,0.13948,150.8308
mexican,0.036481,229.8235
mexican,0.0042918,252.5
mexican,0.032189,200.7333
mexican,0.0085837,163.75
mexican,0.11803,153.5636
mexican,0.15665,139.3699
mexican,0.64807,61.6457
mexican,0.092275,152
mexican,0.25966,110.8512
mexican,0.021459,238.6
mexican,0.0021459,74
mexican,0.35837,92.4072
mexican,0.055794,183.1538
mexican,0.21888,127.7647
mexican,0.0021459,54
mexican,0.0042918,90
mexican,0.19742,125.5
mexican,0.0064378,323
mexican,0.049356,182.913
mexican,0.0042918,257
mexican,0.04721,207.1364
mexican,0.0064378,250.6667
mexican,0.019313,240.2222
mexican,0.021459,219
mexican,0.021459,213.7
mexican,0.38197,91.3933
mexican,0.1309,150.2295
mexican,0.14592,142.3235
mexican,0.077253,171.8333
mexican,0.021459,174.3
mexican,0.41631,83.4433
mexican,0.049356,182.3043
mexican,0.079399,169.1622
mexican,0.015021,269.8571
