Cuisine,Rank,Frequency
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
indian,188,0
chinese,1,5543
chinese,2,4716
chinese,3,4100
chinese,4,3462
chinese,5,2689
chinese,6,2173
chinese,7,1804
chinese,8,1722
chinese,9,1544
chinese,10,1428
chinese,11,1342
chinese,12,1178
chinese,12,1178
chinese,13,1133
chinese,14,1020
chinese,15,999
chinese,16,924
chinese,17,902
chinese,18,819
chinese,19,815
chinese,20,812
chinese,21,790
chinese,22,749
chinese,23,711
chinese,24,698
chinese,25,681
chinese,26,608
chinese,27,606
chinese,28,577
chinese,29,565
chinese,30,554
chinese,31,549
chinese,32,524
chinese,33,487
chinese,34,480
chinese,35,476
chinese,36,461
chinese,37,429
chinese,38,426
chinese,39,404
chinese,40,379
chinese,41,371
chinese,42,363
chinese,43,359
chinese,44,355
chinese,45,350
chinese,46,349
chinese,47,341
chinese,48,340
chinese,49,327
chinese,50,309
chinese,51,302
chinese,51,302
chinese,52,281
chinese,53,275
chinese,54,273
chinese,55,260
chinese,56,258
chinese,57,237
chinese,58,229
chinese,59,214
chinese,60,213
chinese,61,209
chinese,62,208
chinese,63,198
chinese,64,194
chinese,65,169
chinese,66,167
chinese,67,163
chinese,68,156
chinese,69,155
chinese,70,154
chinese,71,152
chinese,72,149
chinese,73,145
chinese,73,145
chinese,74,144
chinese,74,144
chinese,74,144
chinese,75,143
chinese,76,141
chinese,76,141
chinese,77,136
chinese,78,135
chinese,79,134
chinese,80,133
chinese,80,133
chinese,81,131
chinese,81,131
chinese,82,130
chinese,83,127
chinese,84,123
chinese,85,118
chinese,85,118
chinese,86,116
chinese,86,116
chinese,87,114
chinese,88,113
chinese,89,111
chinese,89,111
chinese,89,111
chinese,90,108
chinese,90,108
chinese,91,107
chinese,92,106
chinese,92,106
chinese,93,101
chinese,94,100
chinese,95,98
chinese,96,97
chinese,96,97
chinese,97,96
chinese,97,96
chinese,98,95
chinese,99,94
chinese,100,81
chinese,101,80
chinese,102,78
chinese,102,78
chinese,103,75
chinese,104,72
chinese,104,72
chinese,105,71
chinese,105,71
chinese,106,69
chinese,106,69
chinese,107,68
chinese,108,67
chinese,109,66
chinese,109,66
chinese,110,65
chinese,110,65
chinese,110,65
chinese,110,65
chinese,111,64
chinese,111,64
chinese,112,63
chinese,112,63
chinese,113,62
chinese,114,60
chinese,115,59
chinese,116,57
chinese,116,57
chinese,117,56
chinese,117,56
chinese,118,55
chinese,118,55
chinese,118,55
chinese,118,55
chinese,119,54
chinese,119,54
chinese,120,53
chinese,120,53
chinese,121,52
chinese,122,51
chinese,122,51
chinese,122,51
chinese,122,51
chinese,122,51
chinese,123,50
chinese,123,50
chinese,123,50
chinese,124,49
chinese,124,49
chinese,124,49
chinese,125,48
chinese,126,47
chinese,127,46
chinese,128,45
chinese,128,45
chinese,128,45
chinese,129,44
chinese,130,43
chinese,130,43
chinese,130,43
chinese,130,43
chinese,130,43
chinese,131,41
chinese,131,41
chinese,131,41
chinese,132,39
chinese,132,39
chinese,133,38
chinese,133,38
chinese,133,38
chinese,134,37
chinese,134,37
chinese,135,35
chinese,135,35
chinese,136,34
chinese,136,34
chinese,136,34
chinese,136,34
chinese,136,34
chinese,137,33
chinese,137,33
chinese,137,33
chinese,137,33
chinese,137,33
chinese,137,33
chinese,138,32
chinese,138,32
chinese,138,32
chinese,138,32
chinese,138,32
chinese,139,31
chinese,139,31
chinese,139,31
chinese,139,31
chinese,140,30
chinese,140,30
chinese,140,30
chinese,141,29
chinese,141,29
chinese,141,29
chinese,141,29
chinese,141,29
chinese,142,28
chinese,143,27
chinese,143,27
chinese,144,26
chinese,144,26
chinese,144,26
chinese,144,26
chinese,144,26
chinese,144,26
chinese,144,26
chinese,145,25
chinese,145,25
chinese,146,24
chinese,146,24
chinese,146,24
chinese,146,24
chinese,147,23
chinese,147,23
chinese,147,23
chinese,147,23
chinese,148,22
chinese,148,22
chinese,148,22
chinese,149,21
chinese,149,21
chinese,149,21
chinese,150,20
chinese,150,20
chinese,150,20
chinese,150,20
chinese,150,20
chinese,150,20
chinese,151,19
chinese,151,19
chinese,151,19
chinese,151,19
chinese,151,19
chinese,151,19
chinese,151,19
chinese,152,18
chinese,152,18
chinese,152,18
chinese,152,18
chinese,153,17
chinese,153,17
chinese,153,17
chinese,153,17
chinese,154,16
chinese,154,16
chinese,154,16
chinese,154,16
chinese,154,16
chinese,154,16
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,155,15
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,156,14
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,157,13
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,158,12
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,159,11
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,160,10
chinese,161,9
chinese,161,9
chinese,161,9
chinese,161,9
chinese,161,9
chinese,161,9
chinese,161,9
chinese,161,9
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,162,8
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,163,7
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,164,6
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,165,5
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
chinese,166,4
