Cuisine,closeness,betweeness
chinese,0.60128,0.0049654
chinese,0.50813,2.7961e-05
chinese,0.60516,0.0052758
chinese,0.52285,0.00069528
chinese,0.4662,1.9265e-06
chinese,0.62869,0.015381
chinese,0.45446,0
chinese,0.45935,0
chinese,0.47711,0
chinese,0.50978,6.3758e-05
chinese,0.4942,5.39e-05
chinese,0.4776,0
chinese,0.53235,0.0013116
chinese,0.47231,0
chinese,0.52637,0.00030729
chinese,0.52637,0.00018779
chinese,0.4488,0
chinese,0.48103,0
chinese,0.4942,1.5511e-06
chinese,0.44287,0
chinese,0.40641,1.9103e-06
chinese,0.484,0
chinese,0.50053,4.5512e-05
chinese,0.34184,0
chinese,0.48905,0
chinese,0.65139,0.015962
chinese,0.46713,5.6236e-05
chinese,0.41652,0
chinese,0.34741,0
chinese,0.47278,6.8511e-08
chinese,0.5783,0.013778
chinese,0.59518,0.0045402
chinese,0.50648,3.4436e-05
chinese,0.70633,0.038964
chinese,0.46947,0
chinese,0.46667,0
chinese,0.4845,0
chinese,0.65686,0.017883
chinese,0.59068,0.0038679
chinese,0.47326,3.9094e-06
chinese,0.44539,0
chinese,0.42252,0
chinese,0.52169,0.00016545
chinese,0.46574,8.8438e-07
chinese,0.47857,0
chinese,0.46667,0
chinese,0.50539,1.567e-05
chinese,0.53114,0.00028716
chinese,0.50703,0.00097102
chinese,0.48053,0
chinese,0.51425,0.00036743
chinese,0.44752,0.00029534
chinese,0.48103,0
chinese,0.4589,0
chinese,0.50758,1.8287e-05
chinese,0.47955,0
chinese,0.50053,0.00044554
chinese,0.48905,5.3007e-06
chinese,0.50593,0.00024221
chinese,0.50484,5.9259e-05
chinese,0.46947,5.9062e-05
chinese,0.51652,1.6927e-05
chinese,0.43832,0
chinese,0.48803,1.1603e-06
chinese,0.48201,8.1144e-05
chinese,0.46994,0
chinese,0.47518,1.3997e-06
chinese,0.49894,4.3587e-06
chinese,0.53114,0.00091817
chinese,0.54918,0.00091156
chinese,0.44795,0
chinese,0.51881,0.00037621
chinese,0.484,0.0018936
chinese,0.50214,1.6898e-05
chinese,0.469,0
chinese,0.54032,0.00069203
