Cuisine,degree,betweeness
chinese,0.44136,0.0095981
chinese,0.0042644,6.6842e-06
chinese,0.040512,0.00050853
chinese,0.0085288,0
chinese,0.03838,3.753e-05
chinese,0.021322,0
chinese,0.19403,0.0007122
chinese,0.0063966,0
chinese,0.036247,2.0019e-06
chinese,0.025586,0
chinese,0.1322,0.0043719
chinese,0.23241,0.0010875
chinese,0.010661,0
chinese,0.027719,0
chinese,0.35394,0.0089384
chinese,0.029851,0.0004007
chinese,0.06823,0.00064711
chinese,0.11727,0.0021744
chinese,0.37313,0.014425
chinese,0.085288,1.6595e-05
chinese,0.012793,0
chinese,0.014925,0
chinese,0.014925,0
chinese,0.017058,0.00023576
chinese,0.083156,9.7865e-05
chinese,0.027719,9.4404e-07
chinese,0.0085288,0
chinese,0.012793,1.3017e-07
chinese,0.44563,0.01367
chinese,0.046908,0.00011126
chinese,0.089552,0.00032789
chinese,0.74627,0.12069
chinese,0.13859,0.00010237
chinese,0.036247,0.0085304
chinese,0.19829,0.004983
chinese,0.044776,2.0712e-07
chinese,0.0042644,0
chinese,0.0085288,0
chinese,0.1791,0.00039212
chinese,0.027719,0
chinese,0.01919,0
chinese,0.046908,1.2947e-06
chinese,0.0021322,0
chinese,0.39872,0.011549
chinese,0.010661,0
chinese,0.10661,7.2203e-05
chinese,0.029851,0
chinese,0.35821,0.0049654
chinese,0.093817,2.7961e-05
chinese,0.37953,0.0052758
chinese,0.13433,0.00069528
chinese,0.017058,1.9265e-06
chinese,0.42217,0.015381
chinese,0.0085288,0
chinese,0.010661,0
chinese,0.021322,0
chinese,0.095949,6.3758e-05
chinese,0.063966,5.39e-05
chinese,0.021322,0
chinese,0.15139,0.0013116
chinese,0.01919,0
chinese,0.14712,0.00030729
chinese,0.13859,0.00018779
chinese,0.0063966,0
chinese,0.03838,0
chinese,0.049041,1.5511e-06
chinese,0.0021322,0
chinese,0.0085288,1.9103e-06
chinese,0.036247,0
chinese,0.085288,4.5512e-05
chinese,0.0021322,0
chinese,0.029851,0
chinese,0.47974,0.015962
chinese,0.036247,5.6236e-05
chinese,0.0021322,0
chinese,0.0021322,0
chinese,0.01919,6.8511e-08
chinese,0.28998,0.013778
chinese,0.33689,0.0045402
chinese,0.098081,3.4436e-05
chinese,0.59488,0.038964
chinese,0.010661,0
chinese,0.023454,0
chinese,0.03838,0
chinese,0.49467,0.017883
chinese,0.33475,0.0038679
chinese,0.017058,3.9094e-06
chinese,0.0042644,0
chinese,0.0085288,0
chinese,0.13646,0.00016545
chinese,0.017058,8.8438e-07
chinese,0.027719,0
chinese,0.01919,0
chinese,0.10021,1.567e-05
chinese,0.15565,0.00028716
chinese,0.078891,0.00097102
chinese,0.017058,0
chinese,0.10235,0.00036743
chinese,0.012793,0.00029534
chinese,0.027719,0
chinese,0.0085288,0
chinese,0.098081,1.8287e-05
chinese,0.029851,0
chinese,0.061834,0.00044554
chinese,0.051173,5.3007e-06
chinese,0.11087,0.00024221
chinese,0.078891,5.9259e-05
chinese,0.017058,5.9062e-05
chinese,0.10661,1.6927e-05
chinese,0.0021322,0
chinese,0.040512,1.1603e-06
chinese,0.044776,8.1144e-05
chinese,0.010661,0
chinese,0.021322,1.3997e-06
chinese,0.076759,4.3587e-06
chinese,0.15991,0.00091817
chinese,0.20896,0.00091156
chinese,0.0042644,0
chinese,0.12367,0.00037621
chinese,0.053305,0.0018936
chinese,0.070362,1.6898e-05
chinese,0.014925,0
chinese,0.18124,0.00069203
chinese,0.014925,1.3448e-06
chinese,0.12154,0.00015225
chinese,0.012793,0
chinese,0.0021322,0
chinese,0.0085288,6.7194e-06
chinese,0.0085288,0
chinese,0.18124,0.00095685
chinese,0.027719,0
chinese,0.18763,0.00030852
chinese,0.0085288,0
chinese,0.095949,0.0055178
chinese,0.30064,0.0032126
chinese,0.010661,0
chinese,0.31343,0.0069402
chinese,0.19403,0.0046592
chinese,0.16205,0.00016471
chinese,0.044776,0
chinese,0.014925,3.5424e-05
chinese,0.044776,0
chinese,0.0063966,0
chinese,0.16418,0.00020457
chinese,0.023454,5.5491e-07
chinese,0.72495,0.12003
chinese,0.010661,1.1039e-05
chinese,0.18124,0.00039659
chinese,0.074627,0.00052591
chinese,0.049041,1.2149e-07
chinese,0.29638,0.0077761
chinese,0.053305,3.8633e-05
chinese,0.051173,1.9074e-06
chinese,0.0042644,0
chinese,0.0021322,0
chinese,0.31557,0.0036309
chinese,0.0042644,0
chinese,0.0085288,0
chinese,0.0063966,0
chinese,0.0042644,0
chinese,0.13646,0.00050878
chinese,0.0021322,0
chinese,0.057569,9.7739e-06
chinese,0.098081,4.7264e-05
chinese,0.18124,0.0016338
chinese,0.27505,0.0039974
chinese,0.14925,0.00037871
chinese,0.0021322,0
chinese,0.046908,6.2286e-07
chinese,0.027719,1.8561e-06
chinese,0.021322,6.9543e-05
chinese,0.27505,0.0060491
chinese,0.27505,0.0079639
chinese,0.034115,2.9177e-05
chinese,0.11727,4.3147e-05
chinese,0.01919,1.36e-07
chinese,0.11514,0.010204
chinese,0.3113,0.0027126
chinese,0.40938,0.0088831
chinese,0.034115,2.5231e-06
chinese,0.0085288,2.815e-05
chinese,0.025586,4.6685e-07
chinese,0.034115,1.3806e-07
chinese,0.066098,2.3586e-07
chinese,0.055437,9.0719e-05
chinese,0.12367,0.00017658
chinese,0.03838,2.8157e-06
chinese,0.0042644,0
chinese,0.021322,1.7528e-05
chinese,0.10661,0.00094825
chinese,0.0042644,0
chinese,0.26013,0.0033102
chinese,0.063966,3.5826e-05
chinese,0.029851,0.004271
chinese,0.0021322,0
chinese,0.029851,3.2362e-05
chinese,0.027719,4.3981e-06
chinese,0.021322,0
chinese,0.0021322,0
chinese,0.0042644,0
chinese,0.014925,1.2398e-05
chinese,0.091684,0.0021217
chinese,0.0085288,0
chinese,0.057569,8.5433e-05
chinese,0.1258,4.1037e-05
chinese,0.042644,7.1687e-06
chinese,0.36247,0.011341
chinese,0.11087,0.00038418
chinese,0.0063966,0
chinese,0.36887,0.0062329
chinese,0.19403,0.00029104
chinese,0.012793,0
chinese,0.027719,0
chinese,0.017058,5.4858e-05
chinese,0.0063966,0
chinese,0.06823,1.1053e-06
chinese,0.040512,6.8511e-08
chinese,0.15991,0.0010067
chinese,0.021322,0
chinese,0.20896,0.00074766
chinese,0.021322,0
chinese,0.051173,1.1983e-06
chinese,0.034115,6.3226e-05
chinese,0.17271,0.0010404
chinese,0.014925,0
chinese,0.0042644,0
chinese,0.031983,0.00035901
chinese,0.13006,0.012351
chinese,0.036247,0.00019813
chinese,0.0063966,0
chinese,0.063966,4.5863e-06
chinese,0.26013,0.0016704
chinese,0.034115,0.00011933
chinese,0.41791,0.012536
chinese,0.044776,3.2499e-07
chinese,0.023454,1.0461e-05
chinese,0.17271,0.0015823
chinese,0.014925,0
chinese,0.0063966,0
chinese,0.014925,1.9727e-06
chinese,0.0021322,0
chinese,0.0021322,0
chinese,0.33049,0.0034918
chinese,0.014925,0
chinese,0.01919,0.0043013
chinese,0.044776,3.6228e-07
chinese,0.063966,0.00031055
chinese,0.025586,1.1682e-07
chinese,0.0063966,1.2774e-06
chinese,0.023454,1.7493e-06
chinese,0.078891,4.2443e-06
chinese,0.37527,0.0091003
chinese,0.0042644,0
chinese,0.10874,0.00010721
chinese,0.021322,0
chinese,0.040512,0
chinese,0.0063966,0
chinese,0.059701,1.2774e-05
chinese,0.0063966,2.0249e-06
chinese,0.27079,0.0016273
