Cuisine,degree,closeness
chinese,0.01919,0.47041
chinese,0.14499,0.52994
chinese,0.098081,0.51034
chinese,0.074627,0.50376
chinese,0.0063966,0.45801
chinese,0.0021322,0.33912
chinese,0.0063966,0.35131
chinese,0.029851,0.48501
chinese,0.42431,0.62784
chinese,0.036247,0.48053
chinese,0.025586,0.47614
chinese,0.26226,0.56574
chinese,0.072495,0.50539
chinese,0.23667,0.55967
chinese,0.10448,0.51257
chinese,0.0085288,0.37222
chinese,0.034115,0.48004
chinese,0.042644,0.4911
chinese,0.0021322,0.363
chinese,0.057569,0.49265
chinese,0.070362,0.49368
chinese,0.012793,0.4639
chinese,0.053305,0.49682
chinese,0.0021322,0.43832
chinese,0.27292,0.56848
chinese,0.0042644,0.41578
chinese,0.053305,0.4963
chinese,0.044776,0.49265
chinese,0.014925,0.4676
chinese,0.19829,0.54157
chinese,0.03838,0.48351
chinese,0.0042644,0.44923
chinese,0.0085288,0.45935
chinese,0.0021322,0.40606
chinese,0.0085288,0.45314
chinese,0.012793,0.42792
chinese,0.0063966,0.44966
chinese,0.0042644,0.34844
chinese,0.010661,0.40154
chinese,0.61407,0.71277
chinese,0.14925,0.52697
chinese,0.053305,0.49735
chinese,0.044776,0.484
chinese,0.0063966,0.46252
chinese,0.029851,0.48152
chinese,0.54371,0.67775
chinese,0.025586,0.47808
chinese,0.078891,0.50539
chinese,0.18977,0.54282
chinese,0.44136,0.63464
chinese,0.0042644,0.37281
chinese,0.040512,0.49265
chinese,0.0085288,0.45846
chinese,0.03838,0.48103
chinese,0.021322,0.47136
chinese,0.19403,0.54095
chinese,0.0063966,0.46026
chinese,0.036247,0.4845
chinese,0.025586,0.47136
chinese,0.1322,0.5252
chinese,0.23241,0.55635
chinese,0.010661,0.42025
chinese,0.027719,0.48501
chinese,0.35394,0.60205
chinese,0.029851,0.4747
chinese,0.06823,0.50539
chinese,0.11727,0.52053
chinese,0.37313,0.6083
chinese,0.085288,0.50107
chinese,0.012793,0.45183
chinese,0.014925,0.46713
chinese,0.014925,0.47326
chinese,0.017058,0.42063
chinese,0.083156,0.50539
chinese,0.027719,0.47422
chinese,0.0085288,0.4676
chinese,0.012793,0.40017
chinese,0.44563,0.63636
chinese,0.046908,0.46713
chinese,0.089552,0.51201
chinese,0.74627,0.79357
chinese,0.13859,0.52285
chinese,0.036247,0.48803
chinese,0.19829,0.54918
chinese,0.044776,0.4911
chinese,0.0042644,0.40961
chinese,0.0085288,0.46528
chinese,0.1791,0.53846
chinese,0.027719,0.47808
chinese,0.01919,0.47326
chinese,0.046908,0.4911
chinese,0.0021322,0.43832
chinese,0.39872,0.61792
chinese,0.010661,0.45935
chinese,0.10661,0.50703
chinese,0.029851,0.48501
chinese,0.35821,0.60128
chinese,0.093817,0.50813
chinese,0.37953,0.60516
chinese,0.13433,0.52285
chinese,0.017058,0.4662
chinese,0.42217,0.62869
chinese,0.0085288,0.45446
chinese,0.010661,0.45935
chinese,0.021322,0.47711
chinese,0.095949,0.50978
chinese,0.063966,0.4942
chinese,0.021322,0.4776
chinese,0.15139,0.53235
chinese,0.01919,0.47231
chinese,0.14712,0.52637
chinese,0.13859,0.52637
chinese,0.0063966,0.4488
chinese,0.03838,0.48103
chinese,0.049041,0.4942
chinese,0.0021322,0.44287
chinese,0.0085288,0.40641
chinese,0.036247,0.484
chinese,0.085288,0.50053
chinese,0.0021322,0.34184
chinese,0.029851,0.48905
chinese,0.47974,0.65139
chinese,0.036247,0.46713
chinese,0.0021322,0.41652
chinese,0.0021322,0.34741
chinese,0.01919,0.47278
chinese,0.28998,0.5783
chinese,0.33689,0.59518
chinese,0.098081,0.50648
chinese,0.59488,0.70633
chinese,0.010661,0.46947
chinese,0.023454,0.46667
chinese,0.03838,0.4845
chinese,0.49467,0.65686
chinese,0.33475,0.59068
chinese,0.017058,0.47326
chinese,0.0042644,0.44539
chinese,0.0085288,0.42252
chinese,0.13646,0.52169
chinese,0.017058,0.46574
chinese,0.027719,0.47857
chinese,0.01919,0.46667
chinese,0.10021,0.50539
chinese,0.15565,0.53114
chinese,0.078891,0.50703
chinese,0.017058,0.48053
chinese,0.10235,0.51425
chinese,0.012793,0.44752
chinese,0.027719,0.48103
chinese,0.0085288,0.4589
chinese,0.098081,0.50758
chinese,0.029851,0.47955
chinese,0.061834,0.50053
chinese,0.051173,0.48905
chinese,0.11087,0.50593
chinese,0.078891,0.50484
chinese,0.017058,0.46947
chinese,0.10661,0.51652
chinese,0.0021322,0.43832
chinese,0.040512,0.48803
chinese,0.044776,0.48201
chinese,0.010661,0.46994
chinese,0.021322,0.47518
chinese,0.076759,0.49894
chinese,0.15991,0.53114
chinese,0.20896,0.54918
chinese,0.0042644,0.44795
chinese,0.12367,0.51881
chinese,0.053305,0.484
chinese,0.070362,0.50214
chinese,0.014925,0.469
chinese,0.18124,0.54032
chinese,0.014925,0.46161
chinese,0.12154,0.52169
chinese,0.012793,0.39611
chinese,0.0021322,0.3282
chinese,0.0085288,0.36987
chinese,0.0085288,0.4501
chinese,0.18124,0.5422
chinese,0.027719,0.48103
chinese,0.18763,0.53846
chinese,0.0085288,0.36357
chinese,0.095949,0.4776
chinese,0.30064,0.57617
