Cuisine, Degree, Avg Neig Degree
indian,0.36111,0.00081616
indian,0.64175,0.11541
indian,0.59399,0.094883
indian,0.5,0.024147
chinese,0.4639,0.0059223
chinese,0.44539,0.0025394
chinese,0.47906,0.014949
chinese,0.4676,0.0052212
chinese,0.52815,0.0477
chinese,0.48351,0.014242
chinese,0.484,0.017884
chinese,0.54726,0.077705
chinese,0.48251,0.019566
chinese,0.49735,0.033905
chinese,0.42025,0.0019589
chinese,0.52111,0.052191
chinese,0.46344,0.0072376
chinese,0.50539,0.04319
chinese,0.44038,0.002361
chinese,0.52053,0.055821
chinese,0.44709,0.0034767
chinese,0.53114,0.065335
chinese,0.51201,0.050436
chinese,0.34384,0.00050461
chinese,0.47278,0.0098155
chinese,0.47566,0.010992
chinese,0.34209,0.00042759
chinese,0.63636,0.11886
chinese,0.48753,0.023088
chinese,0.53723,0.0597
chinese,0.52053,0.053972
chinese,0.34209,0.00042759
chinese,0.40997,0.004848
chinese,0.54918,0.075239
chinese,0.51823,0.046479
chinese,0.47374,0.013399
chinese,0.32123,0.00010205
chinese,0.77649,0.13683
chinese,0.52697,0.06082
chinese,0.47808,0.012113
chinese,0.49473,0.022674
chinese,0.48551,0.019022
chinese,0.47711,0.01317
chinese,0.51425,0.047422
chinese,0.50593,0.042581
chinese,0.46482,0.0077903
chinese,0.57405,0.095904
chinese,0.48753,0.025865
chinese,0.43832,0.0073308
chinese,0.67,0.12522
chinese,0.45623,0.003726
chinese,0.51652,0.036112
chinese,0.40085,0.0024845
chinese,0.58846,0.091086
chinese,0.46116,0.0058814
chinese,0.49735,0.030929
chinese,0.39915,0.0031096
chinese,0.49213,0.018353
chinese,0.42367,0.0024661
chinese,0.53846,0.072902
chinese,0.5397,0.065846
chinese,0.51482,0.045217
chinese,0.56848,0.088974
chinese,0.51089,0.042821
chinese,0.40747,0.0031854
chinese,0.5678,0.083201
chinese,0.49473,0.030554
chinese,0.48956,0.015674
chinese,0.44329,0.0042057
chinese,0.51652,0.053485
chinese,0.44966,0.0047906
chinese,0.38601,0.0010338
chinese,0.51369,0.042746
chinese,0.46574,0.0061415
chinese,0.52344,0.053202
chinese,0.56235,0.083093
chinese,0.43107,0.0034885
chinese,0.47857,0.010628
chinese,0.37193,0.0014527
chinese,0.41578,0.002403
chinese,0.45623,0.0031601
chinese,0.43955,0.0023875
chinese,0.44795,0.0034589
chinese,0.51938,0.05255
chinese,0.50376,0.03251
chinese,0.46161,0.0056807
chinese,0.38889,0.0013135
chinese,0.50868,0.043031
chinese,0.47278,0.010507
chinese,0.54854,0.076004
chinese,0.58261,0.093185
chinese,0.6532,0.12114
chinese,0.45712,0.0086608
chinese,0.53478,0.064538
chinese,0.53175,0.046003
chinese,0.38696,0.0011466
chinese,0.50214,0.033693
chinese,0.45712,0.0035731
chinese,0.41431,0.0012754
chinese,0.54662,0.073552
chinese,0.46482,0.005987
chinese,0.39379,0.0028353
chinese,0.49213,0.027258
chinese,0.49947,0.030102
chinese,0.48753,0.014437
chinese,0.5637,0.090595
chinese,0.49473,0.02283
chinese,0.46116,0.0093572
chinese,0.60516,0.10294
chinese,0.41875,0.0039858
chinese,0.48103,0.019183
chinese,0.49265,0.024547
chinese,0.32145,0.0001065
chinese,0.52227,0.040315
chinese,0.51034,0.04443
chinese,0.47183,0.0085496
chinese,0.47614,0.011211
chinese,0.58333,0.092828
chinese,0.60205,0.10445
chinese,0.68268,0.12459
chinese,0.47614,0.012405
chinese,0.51766,0.04703
chinese,0.40431,0.0012263
chinese,0.4963,0.030726
chinese,0.43386,0.0083375
chinese,0.52111,0.05656
chinese,0.4662,0.0051494
chinese,0.39181,0.0016148
chinese,0.50053,0.035274
chinese,0.47041,0.010459
chinese,0.52994,0.054781
chinese,0.51034,0.044123
chinese,0.50376,0.037138
chinese,0.45801,0.0038331
chinese,0.33912,0.00037345
chinese,0.35131,0.00078159
chinese,0.48501,0.01585
chinese,0.62784,0.10642
chinese,0.48053,0.017952
chinese,0.47614,0.01238
chinese,0.56574,0.089694
chinese,0.50539,0.029824
chinese,0.55967,0.07712
chinese,0.51257,0.038448
chinese,0.37222,0.0015364
chinese,0.48004,0.017281
chinese,0.4911,0.02141
chinese,0.363,0.00089408
chinese,0.49265,0.025783
chinese,0.49368,0.028658
chinese,0.4639,0.0071491
chinese,0.49682,0.019046
chinese,0.43832,0.0013272
chinese,0.56848,0.092819
chinese,0.41578,0.002403
chinese,0.4963,0.025304
chinese,0.49265,0.023163
chinese,0.4676,0.0086416
chinese,0.54157,0.072112
chinese,0.48351,0.019775
chinese,0.44923,0.0025487
chinese,0.45935,0.0048559
chinese,0.40606,0.0012102
chinese,0.45314,0.0039179
chinese,0.42792,0.0040809
chinese,0.44966,0.0031395
chinese,0.34844,0.0008151
chinese,0.40154,0.0022782
chinese,0.71277,0.13107
chinese,0.52697,0.061024
chinese,0.49735,0.026608
chinese,0.484,0.02332
chinese,0.46252,0.003876
chinese,0.48152,0.01578
chinese,0.67775,0.12624
chinese,0.47808,0.013188
chinese,0.50539,0.026238
chinese,0.54282,0.071919
chinese,0.63464,0.11925
chinese,0.37281,0.00099262
chinese,0.49265,0.015194
chinese,0.45846,0.004821
chinese,0.48103,0.0149
chinese,0.47136,0.011041
chinese,0.54095,0.073923
chinese,0.46026,0.0037041
chinese,0.4845,0.017714
chinese,0.47136,0.012817
chinese,0.5252,0.047388
chinese,0.55635,0.083363
chinese,0.42025,0.0053578
chinese,0.48501,0.015307
chinese,0.60205,0.10443
chinese,0.4747,0.01038
chinese,0.50539,0.02672
chinese,0.52053,0.044859
chinese,0.6083,0.1069
chinese,0.50107,0.040016
chinese,0.45183,0.006371
chinese,0.46713,0.0077728
chinese,0.47326,0.0078043
chinese,0.42063,0.0034809
chinese,0.50539,0.038739
chinese,0.47422,0.013805
chinese,0.4676,0.0052051
chinese,0.40017,0.0037654
chinese,0.63636,0.11809
chinese,0.46713,0.017173
chinese,0.51201,0.033072
chinese,0.79357,0.13779
chinese,0.52285,0.058092
chinese,0.48803,0.013639
chinese,0.54918,0.070601
chinese,0.4911,0.022767
chinese,0.40961,0.0019754
chinese,0.46528,0.0052703
chinese,0.53846,0.070042
chinese,0.47808,0.01521
chinese,0.47326,0.01081
chinese,0.4911,0.022864
chinese,0.43832,0.0013272
chinese,0.61792,0.10895
chinese,0.45935,0.0053363
chinese,0.50703,0.046484
chinese,0.48501,0.016142
chinese,0.60128,0.10603
chinese,0.50813,0.042114
chinese,0.60516,0.11011
chinese,0.52285,0.050703
chinese,0.4662,0.0081157
chinese,0.62869,0.11471
chinese,0.45446,0.0049567
chinese,0.45935,0.0047758
chinese,0.47711,0.011743
chinese,0.50978,0.042
chinese,0.4942,0.025556
chinese,0.4776,0.012214
chinese,0.53235,0.055774
chinese,0.47231,0.010196
chinese,0.52637,0.057248
chinese,0.52637,0.057998
chinese,0.4488,0.0036285
chinese,0.48103,0.019461
chinese,0.4942,0.025083
chinese,0.44287,0.0013385
chinese,0.40641,0.0028783
chinese,0.484,0.01909
chinese,0.50053,0.036771
chinese,0.34184,0.00027975
chinese,0.48905,0.014488
chinese,0.65139,0.1228
chinese,0.46713,0.01298
chinese,0.41652,0.0012732
chinese,0.34741,0.00044684
chinese,0.47278,0.010543
chinese,0.5783,0.085586
chinese,0.59518,0.10473
chinese,0.50648,0.044317
chinese,0.70633,0.1313
chinese,0.46947,0.0064783
chinese,0.46667,0.012435
chinese,0.4845,0.016724
chinese,0.65686,0.12208
chinese,0.59068,0.10264
chinese,0.47326,0.0070752
chinese,0.44539,0.0021467
chinese,0.42252,0.0036139
chinese,0.52169,0.054525
chinese,0.46574,0.0076896
chinese,0.47857,0.014711
chinese,0.46667,0.0090452
chinese,0.50539,0.045256
chinese,0.53114,0.063343
chinese,0.50703,0.029682
chinese,0.48053,0.0096029
chinese,0.51425,0.045343
chinese,0.44752,0.0032138
chinese,0.48103,0.015477
chinese,0.4589,0.0041496
chinese,0.50758,0.044736
chinese,0.47955,0.015443
chinese,0.50053,0.021734
chinese,0.48905,0.023777
chinese,0.50593,0.046705
chinese,0.50484,0.034253
chinese,0.46947,0.0068659
chinese,0.51652,0.048908
chinese,0.43832,0.0013272
chinese,0.48803,0.020313
chinese,0.48201,0.021492
chinese,0.46994,0.0062824
chinese,0.47518,0.0094721
chinese,0.49894,0.035684
chinese,0.53114,0.06145
chinese,0.54918,0.075606
chinese,0.44795,0.0025375
chinese,0.51881,0.046435
chinese,0.484,0.012624
chinese,0.50214,0.032773
chinese,0.469,0.0080827
chinese,0.54032,0.071109
chinese,0.46161,0.0060498
chinese,0.52169,0.051176
chinese,0.39611,0.003794
chinese,0.3282,0.00013248
chinese,0.36987,0.0017185
chinese,0.4501,0.0048896
chinese,0.5422,0.070691
chinese,0.48103,0.015199
chinese,0.53846,0.072548
chinese,0.36357,0.0015627
chinese,0.4776,0.029444
chinese,0.57617,0.096273
chinese,0.45358,0.0057143
chinese,0.58406,0.09599
chinese,0.54726,0.05805
chinese,0.53114,0.065773
chinese,0.4845,0.023549
chinese,0.42025,0.0040275
chinese,0.49525,0.023755
chinese,0.41213,0.0024959
chinese,0.53235,0.066414
chinese,0.47857,0.01254
chinese,0.77907,0.13663
chinese,0.37853,0.0017518
chinese,0.53539,0.070261
chinese,0.49894,0.028539
chinese,0.48803,0.025283
chinese,0.58045,0.088181
chinese,0.49735,0.026187
chinese,0.48702,0.024858
chinese,0.44413,0.0025554
chinese,0.43832,0.0013272
chinese,0.58189,0.097781
chinese,0.42988,0.0024834
chinese,0.4598,0.004195
chinese,0.46116,0.003892
chinese,0.41068,0.0022547
chinese,0.52344,0.056466
chinese,0.43832,0.0013272
chinese,0.49473,0.028681
chinese,0.51034,0.042892
chinese,0.5397,0.062692
chinese,0.57195,0.088737
chinese,0.52637,0.060309
chinese,0.3282,0.00013248
chinese,0.49473,0.023972
chinese,0.47808,0.012566
chinese,0.46344,0.0080604
chinese,0.56917,0.092044
chinese,0.57265,0.085273
chinese,0.48251,0.01606
chinese,0.51538,0.051411
chinese,0.47231,0.010464
chinese,0.51881,0.0288
chinese,0.58045,0.099343
chinese,0.62202,0.11433
chinese,0.469,0.015078
chinese,0.40154,0.002454
chinese,0.48004,0.013032
chinese,0.48103,0.018013
chinese,0.49368,0.033727
chinese,0.49788,0.025284
chinese,0.51823,0.049106
chinese,0.484,0.019078
chinese,0.45712,0.0026657
chinese,0.47041,0.0097514
chinese,0.51425,0.041638
chinese,0.4514,0.002361
chinese,0.56848,0.085538
chinese,0.49841,0.030669
chinese,0.47326,0.010965
chinese,0.43832,0.0013272
chinese,0.48651,0.014158
chinese,0.47183,0.010929
chinese,0.48152,0.011234
chinese,0.32889,0.00021028
chinese,0.44413,0.0022973
chinese,0.4488,0.004875
chinese,0.51089,0.039896
chinese,0.40051,0.0030387
chinese,0.48702,0.026582
chinese,0.52227,0.055453
chinese,0.48201,0.019646
chinese,0.60516,0.10319
chinese,0.51369,0.048785
chinese,0.46436,0.0039949
chinese,0.60438,0.10668
chinese,0.54095,0.074234
chinese,0.46436,0.0061143
chinese,0.48053,0.014485
chinese,0.41213,0.0048024
chinese,0.45846,0.0034966
chinese,0.49317,0.033861
chinese,0.48152,0.021239
chinese,0.53295,0.059916
chinese,0.47614,0.010106
chinese,0.54726,0.077479
chinese,0.47518,0.012157
chinese,0.48651,0.02562
chinese,0.42443,0.0080131
chinese,0.53723,0.068896
chinese,0.47231,0.0086285
chinese,0.45712,0.0026657
chinese,0.41652,0.0056133
chinese,0.51938,0.04402
chinese,0.43955,0.0074377
chinese,0.44752,0.0035502
chinese,0.5,0.030939
chinese,0.56506,0.086744
chinese,0.484,0.014933
chinese,0.62367,0.11494
chinese,0.48551,0.023231
chinese,0.47422,0.0088446
chinese,0.53908,0.068028
