Cuisine, Rank, Value
indian,857,0.010012
indian,858,0.010012
indian,859,0.010012
indian,860,0.010012
indian,861,0.0098901
indian,862,0.0098901
indian,863,0.0098901
indian,864,0.0098901
indian,865,0.0098901
indian,866,0.0098901
indian,867,0.0098901
indian,868,0.009768
indian,869,0.009768
indian,870,0.009768
indian,871,0.009768
indian,872,0.009768
indian,873,0.009768
indian,874,0.009768
indian,875,0.009768
indian,876,0.009768
indian,877,0.0096459
indian,878,0.0096459
indian,879,0.0096459
indian,880,0.0096459
indian,881,0.0096459
indian,882,0.0096459
indian,883,0.0096459
indian,884,0.0096459
indian,885,0.0096459
indian,886,0.0096459
indian,887,0.0096459
indian,888,0.0095238
indian,889,0.0095238
indian,890,0.0095238
indian,891,0.0095238
indian,892,0.0095238
indian,893,0.0095238
indian,894,0.0095238
indian,895,0.0095238
indian,896,0.0095238
indian,897,0.0095238
indian,898,0.0095238
indian,899,0.0095238
indian,900,0.0095238
indian,901,0.0095238
indian,902,0.0095238
indian,903,0.0095238
indian,904,0.0095238
indian,905,0.0095238
indian,906,0.0095238
indian,907,0.0095238
indian,908,0.0094017
indian,909,0.0094017
indian,910,0.0094017
indian,911,0.0094017
indian,912,0.0094017
indian,913,0.0094017
indian,914,0.0094017
indian,915,0.0092796
indian,916,0.0092796
indian,917,0.0092796
indian,918,0.0092796
indian,919,0.0092796
indian,920,0.0092796
indian,921,0.0092796
indian,922,0.0092796
indian,923,0.0092796
indian,924,0.0091575
indian,925,0.0091575
indian,926,0.0091575
indian,927,0.0091575
indian,928,0.0091575
indian,929,0.0091575
indian,930,0.0091575
indian,931,0.0091575
indian,932,0.0091575
indian,933,0.0091575
indian,934,0.0090354
indian,935,0.0090354
indian,936,0.0090354
indian,937,0.0090354
indian,938,0.0090354
indian,939,0.0090354
indian,940,0.0090354
indian,941,0.0090354
indian,942,0.0090354
indian,943,0.0090354
indian,944,0.0090354
indian,945,0.0090354
indian,946,0.0089133
indian,947,0.0089133
indian,948,0.0089133
indian,949,0.0089133
indian,950,0.0089133
indian,951,0.0089133
indian,952,0.0089133
indian,953,0.0089133
indian,954,0.0089133
indian,955,0.0089133
indian,956,0.0089133
indian,957,0.0089133
indian,958,0.0089133
indian,959,0.0087912
indian,960,0.0087912
indian,961,0.0087912
indian,962,0.0087912
indian,963,0.0087912
indian,964,0.0087912
indian,965,0.0087912
indian,966,0.0087912
indian,967,0.0087912
indian,968,0.0087912
indian,969,0.0087912
indian,970,0.0087912
indian,971,0.0087912
indian,972,0.0087912
indian,973,0.0087912
indian,974,0.0087912
indian,975,0.0086691
indian,976,0.0086691
indian,977,0.0086691
indian,978,0.0086691
indian,979,0.0086691
indian,980,0.0086691
indian,981,0.0086691
indian,982,0.0086691
indian,983,0.0086691
indian,984,0.0086691
indian,985,0.0086691
indian,986,0.0086691
indian,987,0.0086691
indian,988,0.0086691
indian,989,0.0086691
indian,990,0.0086691
indian,991,0.0086691
indian,992,0.0086691
indian,993,0.008547
indian,994,0.008547
indian,995,0.008547
indian,996,0.008547
indian,997,0.008547
indian,998,0.008547
indian,999,0.008547
indian,1000,0.008547
