2,u'wheat', u'wheat_berry'
2,u'bass', u'sea_bass'
2,u'cookie', u'cooky'
2,u'seville_oranges', u'sour_orange'
2,u'black_bean', u'turtle_bean'
2,u'biscuit', u'cookie'
2,u'oatmeal', u'rolled_oats'
2,u'pistachio', u'pistachio_nut'
2,u'cob', u'hazelnut'
2,u'bell_pepper', u'paprika'
2,u'soda', u'soda_water'
2,'frijol', u'kidney_bean'
2,u'marjoram', u'oregano'
2,u'navy_bean', u'white_bean'
2,u'green_onion', u'scallion'
2,u'rockfish', u'striped_bass'
2,u'arugula', u'rocket'
2,u'celeriac', u'celery_root'
2,u'soy', u'soy_sauce'
2,u'anise', u'anise_seed'
2,u'fish fillet', u'fillet'
2,u'bitter_orange', u'seville_oranges'
2,u'scallion', u'spring_onion'
2,u'cos_lettuce', u'romaine_lettuce'
2,u'beet', u'beetroot'
2,u'crab', u'crabmeat'
2,u'yoghurt', u'yogurt'
2,u'milk_powder', u'powdered_milk'
2,u'chip', u'potato_chip'
2,u'crown_roast', u'rack_of_lamb'
2,u'bean_curd', u'tofu'
2,u'catsup', u'tomato_ketchup'
2,u'filet', u'fillet'
2,u'bulghur', u'bulgur'
2,u'chocolate', u'cocoa'
2,u'bun', u'roll'
2,u'chile', u'chili'
2,u'chili', u'chili_con_carne'
2,u'broad_bean', u'fava_bean'
2,u'hard-boiled_egg', u'hard-cooked_egg'
2,u'vanilla', u'vanilla_extract'
2,u'cracker', u'snapper'
2,u'paprika', u'pimento'
2,u'club_soda', u'soda_water'
2,u'candied_fruit', u'crystallized_fruit'
2,u'cake', u'patty'
2,u'sweet potato', u'sweet_potato'
2,u'dill', u'dill_weed'
2,u'shin', u'shin_bone'
2,u'soda_water', u'sparkling_water'
2,u'broth', u'stock'
2,u'french_beans', u'haricot_vert'
2,u'clove', u'stick'
2,u'pie_crust', u'pie_shell'
2,u'chocolate_sauce', u'chocolate_syrup'
2,u'cashew', u'cashew_nut'
2,u'cottage_cheese', u"farmer's_cheese"
2,u'sugar_cane', u'sugarcane'
2,u'leek', u'scallion'
2,u'canton_ginger', u'stem_ginger'
2,u'oil', u'vegetable_oil'
2,u'dried_milk', u'milk_powder'
2,u'mustard', u'mustard_greens'
2,u'malanga', u'yautia'
2,u'gelatin', u'jelly'
2,u'pimento', u'pimiento'
2,u'dove', u'squab'
2,u'chard', u'swiss_chard'
2,u'benne', u'sesame'
2,u'key_lime', u'key_limes'
2,u'crawfish', u'crayfish'
2,u'crayfish', u'spiny_lobster'
2,u'pork_roast', u'roast_pork']
3,u'adobo sauce'
3, u'allspice berry'
3, u'almond butter'
3, u'almond flour'
3, u'almond paste'
3, u'almond syrup'
3, u'amaranth flour'
3, u'amaranth grain'
3, u'amaranth green'
3, u'american_cheese'
3, u'amontillado sherry'
3, u'anise'
3, u'anise liqueur'
3, u'anise water'
3, u'anise_seed'
3, u'anjou pear'
3, u'apple brandy'
3, u'apple cider'
3, u'apricot butter'
3, u'apricot jam'
3, u'arugula'
3, u'avocado dip'
3, u'avocado oil'
3, u'bacon dripping'
3, u'banana pepper'
3, u'barley flour'
3, u'bass'
3, u'bean paste'
3, u'bean sauce'
3, u'bean_curd'
3, u'beef brisket'
3, u'beef gravy'
3, u'beef heart'
3, u'beef marrow'
3, u'beef porterhouse'
3, u'beef rib'
3, u'beef rump'
3, u'beef sausage'
3, u'beef shoulder'
3, u'beef sirloin'
3, u'beef sparerib'
3, u'beef_broth'
3, u'beef_roast'
3, u'beet'
3, u'bell_pepper'
3, u'benne'
3, u'biscuit'
3, u'biscuit mix'
3, u'bitter_orange'
3, u'bitter_orange'
3, u'black_bean'
3, u'black_pudding'
3, u'blackberry jam'
3, u'blackberry liqueur'
3, u'blanc wine'
3, u'bread flour'
3, u'breakfast sausage'
3, u'brie cheese'
3, u'brioche roll'
3, u'broad_bean'
3, u'broad_bean'
3, u'broccoli sprout'
3, u'broth'
3, u'buffalo sausage'
3, u'buffalo shoulder'
3, u'bulghur'
3, u'bun'
3, u'butter chip'
3, u'butter lettuce'
3, u'cabbage mix'
3, u'cake'
3, u'cake flour'
3, u'calamari'
3, u'candied_fruit'
3, u'canton_ginger'
3, u'caper berry'
3, u'carp roe'
3, u'cashew'
3, u'catfish fillet'
3, u'catsup'
3, u'cayenne'
3, u'cayenne'
3, u'cayenne'
3, u'cayenne_pepper'
3, u'celeriac'
3, u'celeriac'
3, u'celery heart'
3, u'cereal'
3, u'champagne vinegar'
3, u'champagne wine'
3, u'chard'
3, u'chard'
3, u'chardonnay wine'
3, u'cheddar'
3, u'cheese soup'
3, u'cherry jam'
3, u'chicken heart'
3, u'chicken_broth'
3, u'chickpea'
3, u'chickpea'
3, u'chickpea flour'
3, u'chile'
3, u'chile beef'
3, u'chile dip'
3, u'chile honey'
3, u'chile jam'
3, u'chile oil'
3, u'chile paste'
3, u'chile pepper'
3, u'chile puree'
3, u'chile salsa'
3, u'chile sauce'
3, u'chili'
3, u'chip'
3, u'chipotle barbecue'
3, u'chipotle chilli'
3, u'chipotle corn'
3, u'chipotle pepper'
3, u'chocolate'
3, u'chocolate chip'
3, u'chocolate ice'
3, u'chocolate liqueur'
3, u'chocolate mix'
3, u'chocolate wafer'
3, u'chocolate_sauce'
3, u'chorizo sausage'
3, u'cilantro'
3, u'cilantro'
3, u'cinnamon graham'
3, u'cinnamon oil'
3, u'citrus'
3, u'citrus bitter'
3, u'citrus oil'
3, u'clam broth'
3, u'clam juice'
3, u'clove'
3, u'club_soda'
3, u'cob'
3, u'cocktail onion'
3, u'cocoa'
3, u'coconut ice'
3, u'coconut rum'
3, u'coconut_cream'
3, u'coconut_milk'
3, u'cod roe'
3, u'coffee ice'
3, u'cookie'
3, u'cookie'
3, u'coral mushroom'
3, u'coriander'
3, u'corn cereal'
3, u'corn flour'
3, u'corn tortilla'
3, u'cornbread mix'
3, u'cos_lettuce'
3, u'cos_lettuce'
3, u'cottage_cheese'
3, u'courgette'
3, u'courgette'
3, u'crab'
3, u'cracker'
3, u'crawfish'
3, u'crawfish'
3, u'crawfish'
3, u'crayfish'
3, u'crayfish'
3, u'cream sherry'
3, u'crown_roast'
3, u'cumin'
3, u'currant tomato'
3, u'curry paste'
3, u'daikon radish'
3, u'dessert'
3, u'dill'
3, u'dip mix'
3, u'dog bun'
3, u'dove'
3, u'dressing'
3, u'dried_milk'
3, u'drink mix'
3, u'drinking_chocolate'
3, u'duck leg'
3, u'duck stock'
3, u'edam cheese'
3, u'egg_roll'
3, u'egg_white'
3, u'emmental cheese'
3, u'enchilada sauce'
3, u'endive'
3, u'fennel sausage'
3, u'fettuccine pasta'
3, u'filet'
3, u'filet'
3, u'filet'
3, u'filet'
3, u'fish broth'
3, u'fish fillet'
3, u'fish sauce'
3, u'fish stock'
3, u'flour tortilla'
3, u'french_beans'
3, 'frijol'
3, u'game hen'
3, u'garlic chile'
3, u'garlic mayonnaise'
3, u'garlic sausage'
3, u'garlic vinegar'
3, u'gelatin'
3, u'gem lettuce'
3, u'ginger juice'
3, u'ginger liqueur'
3, u'gingersnap cooky'
3, u'gorgonzola cheese'
3, u'gouda'
3, u'grain rice'
3, u'grape tomato'
3, u'green banana'
3, u'green cabbage'
3, u'green cardamom'
3, u'green chile'
3, u'green chilli'
3, u'green cilantro'
3, u'green coconut'
3, u'green curry'
3, u'green garlic'
3, u'green grape'
3, u'green lentil'
3, u'green mango'
3, u'green mole'
3, u'green mussel'
3, u'green papaya'
3, u'green peppercorn'
3, u'green plantain'
3, u'green pumpkin'
3, u'green squash'
3, u'green tamarind'
3, u'green tomato'
3, u'green_onion'
3, u'grenadine syrup'
3, u'guava jam'
3, u'guava juice'
3, u'guava nectar'
3, u'guava paste'
3, u'hamburger patty'
3, u'hard-boiled_egg'
3, u'hazelnut oil'
3, u'jack cheese'
3, u'juice concentrate'
3, u'kaffir lime'
3, u'key_lime'
3, u'kosher salt'
3, u'lamb leg'
3, u'lamb loin'
3, u'lamb rib'
3, u'lamb shoulder'
3, u'lamb stock'
3, u'lasagne pasta'
3, u'leek'
3, u'lemon jell-o'
3, u'lemon pepper'
3, u'lemon vodka'
3, u'lemonade concentrate'
3, u'lime oil'
3, u'limeade concentrate'
3, u'linguine pasta'
3, u'lobster mushroom'
3, u'lobster stock'
3, u'loin chop'
3, u'macaroni pasta'
3, u'madeira wine'
3, u'maize flour'
3, u'malanga'
3, u'malt vinegar'
3, u'manicotti pasta'
3, u'marjoram'
3, u'marjoram'
3, u'marsala wine'
3, u'mate tea'
3, u'mayo'
3, u'meat broth'
3, u'meat dripping'
3, u'meat gravy'
3, u'meat stock'
3, u'medium apple'
3, u'medium grain'
3, u'merlot wine'
3, u'milk_powder'
3, u'mole paste'
3, u'mole sauce'
3, u'montrachet cheese'
3, u'muenster cheese'
3, u'mushroom soup'
3, u'mustard'
3, u'mustard pickle'
3, u'napa cabbage'
3, u'navy_bean'
3, u'oatmeal'
3, u'oil'
3, u'onion chutney'
3, u'orange bitter'
3, u'orange pepper'
3, u'orzo pasta'
3, u'oyster sauce'
3, u'pancake mix'
3, u'paprika'
3, u'paprika oil'
3, u'parmesan cheese'
3, u'pastry flour'
3, u'pastry pie'
3, u'peach bitter'
